The Shawshank Redemption`(1994)`9.2`Frank Darabont (dir.), Tim Robbins, Morgan Freeman`https://www.imdb.com/title/tt0111161/
Die Hard`(1988)`8.2`John McTiernan (dir.), Bruce Willis, Alan Rickman`https://www.imdb.com/title/tt0095016/
Green Book`(2018)`8.2`Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali`https://www.imdb.com/title/tt6966692/
Monty Python and the Holy Grail`(1975)`8.2`Terry Gilliam (dir.), Graham Chapman, John Cleese`https://www.imdb.com/title/tt0071853/
Yojimbo`(1961)`8.2`Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno`https://www.imdb.com/title/tt0055630/
Batman Begins`(2005)`8.2`Christopher Nolan (dir.), Christian Bale, Michael Caine`https://www.imdb.com/title/tt0372784/
Rashomon`(1950)`8.2`Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô`https://www.imdb.com/title/tt0042876/
Downfall`(2004)`8.2`Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara`https://www.imdb.com/title/tt0363163/
Children of Heaven`(1997)`8.2`Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian`https://www.imdb.com/title/tt0118849/
Unforgiven`(1992)`8.2`Clint Eastwood (dir.), Clint Eastwood, Gene Hackman`https://www.imdb.com/title/tt0105695/
Some Like It Hot`(1959)`8.2`Billy Wilder (dir.), Marilyn Monroe, Tony Curtis`https://www.imdb.com/title/tt0053291/
Ran`(1985)`8.2`Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao`https://www.imdb.com/title/tt0089881/
Howl's Moving Castle`(2004)`8.2`Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura`https://www.imdb.com/title/tt0347149/
All About Eve`(1950)`8.2`Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter`https://www.imdb.com/title/tt0042192/
A Beautiful Mind`(2001)`8.2`Ron Howard (dir.), Russell Crowe, Ed Harris`https://www.imdb.com/title/tt0268978/
Casino`(1995)`8.2`Martin Scorsese (dir.), Robert De Niro, Sharon Stone`https://www.imdb.com/title/tt0112641/
The Great Escape`(1963)`8.2`John Sturges (dir.), Steve McQueen, James Garner`https://www.imdb.com/title/tt0057115/
The Wolf of Wall Street`(2013)`8.2`Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill`https://www.imdb.com/title/tt0993846/
Pan's Labyrinth`(2006)`8.2`Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil`https://www.imdb.com/title/tt0457430/
The Secret in Their Eyes`(2009)`8.1`Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil`https://www.imdb.com/title/tt1305806/
There Will Be Blood`(2007)`8.1`Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano`https://www.imdb.com/title/tt0469494/
Lock, Stock and Two Smoking Barrels`(1998)`8.1`Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher`https://www.imdb.com/title/tt0120735/
My Neighbor Totoro`(1988)`8.1`Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka`https://www.imdb.com/title/tt0096283/
Raging Bull`(1980)`8.1`Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty`https://www.imdb.com/title/tt0081398/
Judgment at Nuremberg`(1961)`8.1`Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster`https://www.imdb.com/title/tt0055031/
The Treasure of the Sierra Madre`(1948)`8.1`John Huston (dir.), Humphrey Bogart, Walter Huston`https://www.imdb.com/title/tt0040897/
Dial M for Murder`(1954)`8.1`Alfred Hitchcock (dir.), Ray Milland, Grace Kelly`https://www.imdb.com/title/tt0046912/
Three Billboards Outside Ebbing, Missouri`(2017)`8.1`Martin McDonagh (dir.), Frances McDormand, Woody Harrelson`https://www.imdb.com/title/tt5027774/
Shutter Island`(2010)`8.1`Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer`https://www.imdb.com/title/tt1130884/
The Gold Rush`(1925)`8.1`Charles Chaplin (dir.), Charles Chaplin, Mack Swain`https://www.imdb.com/title/tt0015864/
Chinatown`(1974)`8.1`Roman Polanski (dir.), Jack Nicholson, Faye Dunaway`https://www.imdb.com/title/tt0071315/
My Father and My Son`(2005)`8.1`Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan`https://www.imdb.com/title/tt0476735/
No Country for Old Men`(2007)`8.1`Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem`https://www.imdb.com/title/tt0477348/
V for Vendetta`(2005)`8.1`James McTeigue (dir.), Hugo Weaving, Natalie Portman`https://www.imdb.com/title/tt0434409/
Inside Out`(2015)`8.1`Pete Docter (dir.), Amy Poehler, Bill Hader`https://www.imdb.com/title/tt2096673/
The Seventh Seal`(1957)`8.1`Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand`https://www.imdb.com/title/tt0050976/
The Elephant Man`(1980)`8.1`David Lynch (dir.), Anthony Hopkins, John Hurt`https://www.imdb.com/title/tt0080678/
The Thing`(1982)`8.1`John Carpenter (dir.), Kurt Russell, Wilford Brimley`https://www.imdb.com/title/tt0084787/
Warrior`(2011)`8.1`Gavin O'Connor (dir.), Tom Hardy, Nick Nolte`https://www.imdb.com/title/tt1291584/
The Sixth Sense`(1999)`8.1`M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment`https://www.imdb.com/title/tt0167404/
Trainspotting`(1996)`8.1`Danny Boyle (dir.), Ewan McGregor, Ewen Bremner`https://www.imdb.com/title/tt0117951/
Jurassic Park`(1993)`8.1`Steven Spielberg (dir.), Sam Neill, Laura Dern`https://www.imdb.com/title/tt0107290/
The Truman Show`(1998)`8.1`Peter Weir (dir.), Jim Carrey, Ed Harris`https://www.imdb.com/title/tt0120382/
Klaus`(2019)`8.1`Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons`https://www.imdb.com/title/tt4729430/
Soul`(2020)`8.1`Pete Docter (dir.), Jamie Foxx, Tina Fey`https://www.imdb.com/title/tt2948372/
Anand`(1971)`8.1`Hrishikesh Mukherjee (dir.), Rajesh Khanna, Amitabh Bachchan`https://www.imdb.com/title/tt0066763/
Gone with the Wind`(1939)`8.1`Victor Fleming (dir.), Clark Gable, Vivien Leigh`https://www.imdb.com/title/tt0031381/
Finding Nemo`(2003)`8.1`Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres`https://www.imdb.com/title/tt0266543/
Wild Strawberries`(1957)`8.1`Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson`https://www.imdb.com/title/tt0050986/
Blade Runner`(1982)`8.1`Ridley Scott (dir.), Harrison Ford, Rutger Hauer`https://www.imdb.com/title/tt0083658/
Stalker`(1979)`8.1`Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy`https://www.imdb.com/title/tt0079944/
Kill Bill: Vol. 1`(2003)`8.1`Quentin Tarantino (dir.), Uma Thurman, David Carradine`https://www.imdb.com/title/tt0266697/
Memories of Murder`(2003)`8.1`Bong Joon Ho (dir.), Song Kang-Ho, Kim Sang-kyung`https://www.imdb.com/title/tt0353969/
The Bridge on the River Kwai`(1957)`8.1`David Lean (dir.), William Holden, Alec Guinness`https://www.imdb.com/title/tt0050212/
Fargo`(1996)`8.1`Joel Coen (dir.), William H. Macy, Frances McDormand`https://www.imdb.com/title/tt0116282/
Room`(2015)`8.1`Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay`https://www.imdb.com/title/tt3170832/
The Third Man`(1949)`8.1`Carol Reed (dir.), Orson Welles, Joseph Cotten`https://www.imdb.com/title/tt0041959/
Gran Torino`(2008)`8.1`Clint Eastwood (dir.), Clint Eastwood, Bee Vang`https://www.imdb.com/title/tt1205489/
Wild Tales`(2014)`8.1`Damián Szifron (dir.), Darío Grandinetti, María Marull`https://www.imdb.com/title/tt3011894/
On the Waterfront`(1954)`8.1`Elia Kazan (dir.), Marlon Brando, Karl Malden`https://www.imdb.com/title/tt0047296/
Tokyo Story`(1953)`8.1`Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama`https://www.imdb.com/title/tt0046438/
The Deer Hunter`(1978)`8.1`Michael Cimino (dir.), Robert De Niro, Christopher Walken`https://www.imdb.com/title/tt0077416/
In the Name of the Father`(1993)`8.1`Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite`https://www.imdb.com/title/tt0107207/
Autumn Sonata`(1978)`8.1`Ingmar Bergman (dir.), Ingrid Bergman, Liv Ullmann`https://www.imdb.com/title/tt0077711/
Mary and Max`(2009)`8.1`Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman`https://www.imdb.com/title/tt0978762/
The Grand Budapest Hotel`(2014)`8.1`Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham`https://www.imdb.com/title/tt2278388/
Gone Girl`(2014)`8.1`David Fincher (dir.), Ben Affleck, Rosamund Pike`https://www.imdb.com/title/tt2267998/
Before Sunrise`(1995)`8.1`Richard Linklater (dir.), Ethan Hawke, Julie Delpy`https://www.imdb.com/title/tt0112471/
Hacksaw Ridge`(2016)`8.1`Mel Gibson (dir.), Andrew Garfield, Sam Worthington`https://www.imdb.com/title/tt2119532/
Catch Me If You Can`(2002)`8.1`Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks`https://www.imdb.com/title/tt0264464/
Andhadhun`(2018)`8.1`Sriram Raghavan (dir.), Ayushmann Khurrana, Tabu`https://www.imdb.com/title/tt8108198/
Persona`(1966)`8.1`Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann`https://www.imdb.com/title/tt0060827/
Prisoners`(2013)`8.1`Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal`https://www.imdb.com/title/tt1392214/
The Big Lebowski`(1998)`8.1`Joel Coen (dir.), Jeff Bridges, John Goodman`https://www.imdb.com/title/tt0118715/
To Be or Not to Be`(1942)`8.1`Ernst Lubitsch (dir.), Carole Lombard, Jack Benny`https://www.imdb.com/title/tt0035446/
Sherlock Jr.`(1924)`8.1`Buster Keaton (dir.), Buster Keaton, Kathryn McGuire`https://www.imdb.com/title/tt0015324/
The General`(1926)`8.1`Clyde Bruckman (dir.), Buster Keaton, Marion Mack`https://www.imdb.com/title/tt0017925/
How to Train Your Dragon`(2010)`8.1`Dean DeBlois (dir.), Jay Baruchel, Gerard Butler`https://www.imdb.com/title/tt0892769/
Ford v Ferrari`(2019)`8.1`James Mangold (dir.), Matt Damon, Christian Bale`https://www.imdb.com/title/tt1950186/
The Bandit`(1996)`8.1`Yavuz Turgul (dir.), Sener Sen, Ugur Yücel`https://www.imdb.com/title/tt0116231/
Barry Lyndon`(1975)`8.1`Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson`https://www.imdb.com/title/tt0072684/
12 Years a Slave`(2013)`8.1`Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams`https://www.imdb.com/title/tt2024544/
Mr. Smith Goes to Washington`(1939)`8.1`Frank Capra (dir.), James Stewart, Jean Arthur`https://www.imdb.com/title/tt0031679/
Mad Max: Fury Road`(2015)`8.1`George Miller (dir.), Tom Hardy, Charlize Theron`https://www.imdb.com/title/tt1392190/
Million Dollar Baby`(2004)`8.1`Clint Eastwood (dir.), Hilary Swank, Clint Eastwood`https://www.imdb.com/title/tt0405159/
Time of the Gypsies`(1988)`8.1`Emir Kusturica (dir.), Davor Dujmovic, Bora Todorovic`https://www.imdb.com/title/tt0097223/
Network`(1976)`8.1`Sidney Lumet (dir.), Faye Dunaway, William Holden`https://www.imdb.com/title/tt0074958/
Dead Poets Society`(1989)`8.1`Peter Weir (dir.), Robin Williams, Robert Sean Leonard`https://www.imdb.com/title/tt0097165/
Stand by Me`(1986)`8.1`Rob Reiner (dir.), Wil Wheaton, River Phoenix`https://www.imdb.com/title/tt0092005/
Ben-Hur`(1959)`8.1`William Wyler (dir.), Charlton Heston, Jack Hawkins`https://www.imdb.com/title/tt0052618/
Harry Potter and the Deathly Hallows: Part 2`(2011)`8.1`David Yates (dir.), Daniel Radcliffe, Emma Watson`https://www.imdb.com/title/tt1201607/
Cool Hand Luke`(1967)`8.1`Stuart Rosenberg (dir.), Paul Newman, George Kennedy`https://www.imdb.com/title/tt0061512/
Hachi: A Dog's Tale`(2009)`8.1`Lasse Hallström (dir.), Richard Gere, Joan Allen`https://www.imdb.com/title/tt1028532/
Platoon`(1986)`8.1`Oliver Stone (dir.), Charlie Sheen, Tom Berenger`https://www.imdb.com/title/tt0091763/
The Handmaiden`(2016)`8.0`Chan-wook Park (dir.), Kim Min-hee, Jung-woo Ha`https://www.imdb.com/title/tt4016934/
Into the Wild`(2007)`8.0`Sean Penn (dir.), Emile Hirsch, Vince Vaughn`https://www.imdb.com/title/tt0758758/
Logan`(2017)`8.0`James Mangold (dir.), Hugh Jackman, Patrick Stewart`https://www.imdb.com/title/tt3315342/
Rush`(2013)`8.0`Ron Howard (dir.), Daniel Brühl, Chris Hemsworth`https://www.imdb.com/title/tt1979320/
The Wages of Fear`(1953)`8.0`Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel`https://www.imdb.com/title/tt0046268/
Monty Python's Life of Brian`(1979)`8.0`Terry Jones (dir.), Graham Chapman, John Cleese`https://www.imdb.com/title/tt0079470/
The 400 Blows`(1959)`8.0`François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy`https://www.imdb.com/title/tt0053198/
Spotlight`(2015)`8.0`Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton`https://www.imdb.com/title/tt1895587/
La Haine`(1995)`8.0`Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé`https://www.imdb.com/title/tt0113247/
The Passion of Joan of Arc`(1928)`8.0`Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain`https://www.imdb.com/title/tt0019254/
Hotel Rwanda`(2004)`8.0`Terry George (dir.), Don Cheadle, Sophie Okonedo`https://www.imdb.com/title/tt0395169/
Amores Perros`(2000)`8.0`Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal`https://www.imdb.com/title/tt0245712/
Andrei Rublev`(1966)`8.0`Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov`https://www.imdb.com/title/tt0060107/
Rocky`(1976)`8.0`John G. Avildsen (dir.), Sylvester Stallone, Talia Shire`https://www.imdb.com/title/tt0075148/
Gangs of Wasseypur`(2012)`8.0`Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha`https://www.imdb.com/title/tt1954470/
Monsters, Inc.`(2001)`8.0`Pete Docter (dir.), Billy Crystal, John Goodman`https://www.imdb.com/title/tt0198781/
Nausicaä of the Valley of the Wind`(1984)`8.0`Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura`https://www.imdb.com/title/tt0087544/
Rebecca`(1940)`8.0`Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine`https://www.imdb.com/title/tt0032976/
Rififi`(1955)`8.0`Jules Dassin (dir.), Jean Servais, Carl Möhner`https://www.imdb.com/title/tt0048021/
Vikram Vedha`(2017)`8.0`Gayatri (dir.), Madhavan, Vijay Sethupathi`https://www.imdb.com/title/tt6148156/
Rang De Basanti`(2006)`8.0`Rakeysh Omprakash Mehra (dir.), Aamir Khan, Soha Ali Khan`https://www.imdb.com/title/tt0405508/
Before Sunset`(2004)`8.0`Richard Linklater (dir.), Ethan Hawke, Julie Delpy`https://www.imdb.com/title/tt0381681/
In the Mood for Love`(2000)`8.0`Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung`https://www.imdb.com/title/tt0118694/
Portrait of a Lady on Fire`(2019)`8.0`Céline Sciamma (dir.), Noémie Merlant, Adèle Haenel`https://www.imdb.com/title/tt8613070/
Paris, Texas`(1984)`8.0`Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski`https://www.imdb.com/title/tt0087884/
It Happened One Night`(1934)`8.0`Frank Capra (dir.), Clark Gable, Claudette Colbert`https://www.imdb.com/title/tt0025316/
The Invisible Guest`(2016)`8.0`Oriol Paulo (dir.), Mario Casas, Ana Wagener`https://www.imdb.com/title/tt4857264/
The Help`(2011)`8.0`Tate Taylor (dir.), Emma Stone, Viola Davis`https://www.imdb.com/title/tt1454029/
Drishyam`(2015)`8.0`Nishikant Kamat (dir.), Ajay Devgn, Shriya Saran`https://www.imdb.com/title/tt4430212/
The Princess Bride`(1987)`8.0`Rob Reiner (dir.), Cary Elwes, Mandy Patinkin`https://www.imdb.com/title/tt0093779/
The Battle of Algiers`(1966)`8.0`Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin`https://www.imdb.com/title/tt0058946/
A Silent Voice: The Movie`(2016)`8.0`Naoko Yamada (dir.), Miyu Irino, Saori Hayami`https://www.imdb.com/title/tt5323662/
Fanny and Alexander`(1982)`8.0`Ingmar Bergman (dir.), Bertil Guve, Pernilla Allwin`https://www.imdb.com/title/tt0083922/
